"n","omega","rho","p","delta1","delta2","delta3","nu1","nu2","nu3","beta1","beta2","beta3","gamma1","gamma2","gamma3","eta1","eta2","eta3","eta4","eta5","tau","plugin","pluginse","onestep","onestepse","maxl1","maxpi1","mink","maxk"
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.37799293883017,0.0450826214203078,2.60177921668186,0.222369942512261,0.999265162235641,0.817357359237263,0.0822803674979486,0.910710526621993
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.63755690786105,0.0425503424460234,2.40558333837318,0.204020830719207,0.998971691993652,0.844185011545937,0.0897962744154387,0.941418533984398
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.71187685974122,0.0398542139902223,2.47194389900609,0.187798252559385,0.996319943419386,0.865507439753774,0.142999394672926,0.916742231856996
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.06544184059296,0.050866606343788,2.45233006488482,0.243240320462935,0.998275167950584,0.881903431716007,0.120323152349755,0.921599031800552
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.44509145001344,0.0442451732884058,2.27898705047654,0.189640113987169,0.999717967127149,0.887889754938907,0.132496039470994,0.9283344980608
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.29283511664392,0.0437346574408404,2.36209965780331,0.209004942495304,0.999775672762246,0.85142083793651,0.105889320488764,0.925897038279395
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.30853920599497,0.0499481758119607,2.39319666540998,0.239002266054511,0.998518060917057,0.863494907760541,0.118224817878437,0.897277041749493
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.56714084333324,0.0447392808155895,2.37567734679703,0.245588572995941,0.999931524256789,0.836672699655902,0.0884082825135397,0.938532199308202
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.20780282217358,0.0407326708370937,2.54111514778821,0.182132412687226,0.99713772046212,0.860266019857096,0.0981030136445335,0.943156553997991
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.31265966980453,0.0436571294714295,2.69355225503761,0.204355805420613,0.999878458495832,0.862923204085126,0.0829501252368918,0.920028242267256
