"n","omega","rho","rho_s","p","delta1","delta2","delta3","nu1","nu2","nu3","beta1","beta2","beta3","gamma1","gamma2","gamma3","eta1","eta2","eta3","eta4","eta5","tau","sl.lib","plugin","pluginse","onestep","onestepse","plugin_adapt","pluginse_adapt","onestep_adapt","onestepse_adapt"
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",-0.112808031327937,0.184523824205371,1.19355697839133,1.13035721249454,2.40012005358264,0.122910960212992,1.74568695489436,1.92347040715721
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",2.30591314955327,0.0897962205440501,4.28659543333611,1.14715204829726,2.45429455720151,0.0925689670802894,4.66972947325204,1.20658369729794
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",1.02710245914545,0.0481107029268277,1.62302735734397,0.587483255186003,3.89064129249141,0.305648856364707,4.79252314462356,3.31116323238124
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",1.67837516345202,0.107158367076234,0.221335900818512,1.84712358179215,2.51407162307357,0.12455078488949,4.18176582762555,1.70762707867204
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",-0.15557717247321,0.0633500373822011,0.254926062572083,1.37259528004274,1.76884238054912,0.103675284040982,5.69027869662549,3.30174306932472
1000,0.2,0.2,0.1,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",-0.216791387296617,0.158299810041373,0.172946889550745,1.11645659460422,1.39126183391779,0.126922871085696,4.02656183583484,1.27387090010308
1000,0.2,0.2,0.1,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",0.760075351679519,0.103405297600458,-0.251337510226309,1.12122929190456,2.42922475902591,0.178219323344668,1.67941519683341,2.87648060091596
1000,0.2,0.2,0.1,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",2.11566403992659,0.1165387282951,0.043674306384898,2.1631467776635,2.85086648346339,0.134468319990855,3.27198564609576,1.82357812272262
1000,0.2,0.2,0.1,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",3.30863602921002,0.108886685256027,3.2576675113987,1.51530853753768,2.13267133105809,0.096775640354619,2.62506081303978,1.47655076730903
1000,0.2,0.2,0.1,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",1.47598255193254,0.104823875959676,4.58966641962272,2.71305840937401,1.29733124075008,0.110824250591873,3.70523776175034,1.64397651643999
