"n","omega","rho","rho_s","p","delta1","delta2","delta3","nu1","nu2","nu3","beta1","beta2","beta3","gamma1","gamma2","gamma3","eta1","eta2","eta3","eta4","eta5","tau","sl.lib1","sl.lib2","sl.lib3","plugin","pluginse","onestep","onestepse","oracle","naive","psi_hat_adapt","tml","tmlse","tml_evm","tml_evmse","tml_mid","tml_midse","psi_hat_cv"
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth",2.01606142988044,0.150124784117953,4.4186334440352,3.77614353379751,3.35116454857578,-1.94792498069702,1,6.69065216267079,3.36477536374217,6.78292821478853,3.3778596567158,171.776566995141,209.603710211545,2.90595725495193
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth",2.50244152256686,0.0790497828277488,2.45122458351124,1.15255658866273,2.71370613679623,-1.21512465217529,1,1.57418561796338,0.870020984758734,2.62587452423955,0.705036543614784,2.82528379820674,13.8570117917126,2.31763909577146
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth",3.07902989743098,0.0909471983624301,4.30972013468959,2.64066801039478,2.69402496236879,-1.19053581329035,1,2.79923209055066,2.69823247595976,1.10424371532655,0.921641063653384,23.9739810788452,111.190080905904,3.12682435028588
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth",0.157428048596959,0.0301025541568076,-0.708534574983722,1.31303291516642,1.97614459472417,-1.47845622768123,1,1.51333204870951,1.30432065827012,0.860634383498977,0.824530603215193,1.97418465974324,39.5554943100104,0.776462622929824
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth",-0.84306280620925,0.163527807908864,0.384293002931663,0.819655947477114,3.08345793653548,-1.34966312044616,1,2.86420548528341,1.10260504462491,1.29064139825043,0.605233689600313,12.7025593799818,27.5098130732206,1.97432547058134
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth",0.643937776384743,0.168741962317359,-0.596556052682639,2.77173259053574,2.59518495757445,-0.945517694831195,1,-2.52953712794604,2.62760510830169,0.938640444354416,0.791061310332372,-84.3907669919285,105.768464353558,0.407413927859206
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth",2.52484678690961,0.22130411019296,1.91892454337485,0.818277265105822,2.70238214203447,-1.61105422320503,1,0.952405766213672,0.740792929463509,0.246740457230001,0.697761862932696,-11.7556033126924,8.39233425998017,1.15070586143607
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth",0.490357150614205,1.29286418608619,-1.09042764208344,2.34456163265747,2.31347734368265,-1.63759735878771,1,2.62692991015225,0.791479862467272,1.85347167671045,0.579598229714531,-14.6708433064305,11.5087038495247,1.88885870420998
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth",2.90672865844944,0.117764509118814,3.61056538750045,0.897356562448698,2.57988290212794,-1.35817034945012,1,1.79585446208197,0.950242898312373,1.01758913994495,0.722322365365566,-9.64440486607648,18.9743174565652,1.75755936461669
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth",0.528408302329273,0.169928800714464,-2.84818760798013,5.82049374045961,1.94688461654135,-1.66101904304465,1,5.35966008750366,6.42428373566957,4.30918777384189,5.68662394803712,302.703456616252,594.387356352007,3.76948125998836
