"n","omega","rho","rho_s","p","delta1","delta2","delta3","nu1","nu2","nu3","beta1","beta2","beta3","gamma1","gamma2","gamma3","eta1","eta2","eta3","eta4","eta5","tau","sl.lib1","sl.lib2","sl.lib3","sl.lib4","plugin","pluginse","onestep","onestepse","oracle","naive","psi_hat_adapt","tml","tmlse","tml_evm","tml_evmse","tml_mid","tml_midse","psi_hat_cv"
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth","SL.gam",0.913723827861389,0.118071752655406,0.730144939103136,0.969732107752359,2.77252199422304,-1.68552560869741,1,1.42902518040001,1.14618835707283,2.31699701653911,0.637409131851793,3.33514832271782,20.2673756247755,3.24404156338766
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth","SL.gam",2.84682033759641,0.0939871142113715,1.79177612745402,1.95810857861923,2.11097773748149,-1.26132329686642,1,1.38377161425875,1.20322130344121,1.72849968897856,1.22318240210091,30.5718739893977,49.332089158485,2.19326272215324
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth","SL.gam",1.01258516875185,0.0584408090503201,-2.60594047250495,4.11877099669496,3.07294811483575,-1.88175567667561,1,-1.9396249558525,2.40572910298066,1.77870945336387,1.14065679500318,-149.767789683349,185.116517079847,1.503820858958
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth","SL.gam",2.47715842296152,0.205458694615052,15.8439944989028,13.4977388958977,2.69724445806682,-1.09404082572831,1,6.1096721378126,5.29910353077245,6.04775625259545,5.30235488794423,261.865929832159,395.364591071687,2.95725117837616
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth","SL.gam",0.473552217582034,0.0583016696792088,1.85322246271951,3.11432285820648,1.40638935405101,-0.888561749007213,1,0.152117805865265,1.6387730145136,-0.587463951379127,1.41235469101315,6.91307894515207,54.3288652752053,1.23001348850862
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth","SL.gam",0.107578860275749,0.0736140276452032,-2.91938709693389,2.81317612603111,2.46445308100026,-1.30116173587512,1,0.618626681098754,1.11946248385705,0.0812227601406418,0.569344318813864,6.10841180685774,31.825863239636,0.619236238291902
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth","SL.gam",0.108095701706643,0.0257663224080506,2.25819468292828,2.44678810597661,2.24049147425178,-1.50853884161605,1,4.33777777065909,3.5098115616886,2.28420235207846,0.922084924031457,-73.4559922210539,156.702110754,2.89795874048052
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth","SL.gam",0.410054445431927,0.0579337012496469,-1.10114400717473,1.36489496464602,2.79122725979834,-2.04694552852676,1,-0.993323425375319,1.15751803244281,-0.332692482011759,0.946884318905627,-29.1212409953716,30.25528891993,-1.06554390893431
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth","SL.gam",3.94122606692048,0.1163953564003,4.05060742538673,0.819959031873882,2.49719539029917,-1.22054380805498,1,2.83064723265404,0.808221710724859,2.1451705490832,0.670322610039777,-5.02378555799101,9.63940464709488,2.65637793072303
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth","SL.gam",0.451006214005835,0.0773625911890619,-1.18734272664941,1.73643065325884,2.34363034615933,-1.11413045487036,1,0.169157142340872,1.51347098856193,0.641832026769557,0.651638632972367,-35.8487240922724,50.0261874333648,1.50802477175684
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth","SL.gam",1.6405726194707,0.260735638996366,2.46242413091302,1.22283468985306,1.91354579809397,-0.696711194243344,1,1.70576743284647,1.09733788726974,0.922152077376436,0.707792725702478,-5.19093294656293,16.2130902300577,1.59069572509013
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth","SL.gam",2.00015908121902,0.137044274621646,4.16102870069292,1.81509255249001,3.05510777164825,-0.747806214156493,1,3.62731174121305,2.37170975214163,2.25190532099042,0.868792769703591,76.9695090610551,84.3068888555073,2.25498402444025
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth","SL.gam",1.01159371741024,0.210621743436264,3.19025167782483,5.05775911029197,3.10277254148757,-1.85633659525556,1,2.20026188978761,1.35658735478148,1.50134540551108,0.859828008190259,9.44044495889336,35.0303617041597,2.30577005267274
